Player,Model I,Model II,Model III,Model IV,2021-22 Actual Score
Morgan Rielly,0.0052,0.0044,0.0044,0.0043,0.0051
Brent Burns,0.0044,0.0042,0.0048,0.0054,0.0036
Mark Giordano,0.0046,0.0042,0.0044,0.0055,0.0048
Roman Josi,0.0076,0.0074,0.0076,0.0079,0.0070
Ryan McDonagh,0.0034,0.0032,0.0038,0.0036,0.0030
Thomas Chabot,0.0054,0.0049,0.0050,0.0048,0.0045
John Carlson,0.0078,0.0077,0.0077,0.0082,0.0071
Duncan Keith,0.0024,0.0022,0.0028,0.0032,0.0009
Kris Letang,0.0068,0.0063,0.0065,0.0069,0.0049
Ryan Ellis,0.0047,0.0048,0.0051,0.0051,0.0135
Mattias Ekholm,0.0054,0.0056,0.0058,0.0062,0.0042
Jeff Petry,0.0064,0.0063,0.0065,0.0075,0.0049
Tyson Barrie,0.0046,0.0043,0.0049,0.0043,0.0035
Seth Jones,0.0036,0.0035,0.0043,0.0032,0.0031
Colin White,0.0111,0.0108,0.0128,0.0131,0.0033
Dougie Hamilton,0.0103,0.0100,0.0099,0.0097,0.0062
Jake Muzzin,0.0039,0.0038,0.0034,0.0038,0.0036
Jared Spurgeon,0.0058,0.0056,0.0054,0.0059,0.0096
Darnell Nurse,0.0078,0.0080,0.0087,0.0089,0.0047
Ryan Suter,0.0025,0.0025,0.0025,0.0033,0.0018
Travis Sanheim,0.0047,0.0047,0.0049,0.0044,0.0043
TJ Brodie,0.0025,0.0020,0.0021,0.0020,0.0026
Jacob Trouba,0.0027,0.0026,0.0045,0.0028,0.0065
Brandon Montour,0.0051,0.0053,0.0052,0.0054,0.0078
Zach Werenski,0.0096,0.0097,0.0102,0.0104,0.0049
Victor Hedman,0.0069,0.0069,0.0070,0.0073,0.0088
Dmitry Orlov,0.0046,0.0048,0.0056,0.0057,0.0068
Ryan Murray,0.0003,0.0001,0.0024,0.0001,0.0000
Ryan Pulock,0.0035,0.0033,0.0039,0.0032,0.0030
Shea Theodore,0.0075,0.0075,0.0077,0.0078,0.0082
Brett Pesce,0.0037,0.0036,0.0041,0.0035,0.0046
Aaron Ekblad,0.0058,0.0059,0.0062,0.0062,0.0106
Vince Dunn,0.0058,0.0056,0.0056,0.0055,0.0038
Damon Severson,0.0038,0.0039,0.0039,0.0037,0.0040
Rasmus Ristolainen,0.0031,0.0031,0.0036,0.0033,0.0016
Noah Hanifin,0.0037,0.0036,0.0049,0.0039,0.0063
Mikhail Sergachev,0.0042,0.0040,0.0045,0.0040,0.0041
Alex Pietrangelo,0.0077,0.0079,0.0078,0.0084,0.0056
Erik Karlsson,0.0034,0.0039,0.0040,0.0046,0.0105
Justin Faulk,0.0039,0.0041,0.0044,0.0045,0.0100
John Klingberg,0.0040,0.0041,0.0042,0.0045,0.0035
Cody Ceci,0.0034,0.0032,0.0035,0.0035,0.0035
Charlie McAvoy,0.0043,0.0041,0.0043,0.0041,0.0033
Marc-Edouard Vlasic,0.0014,0.0011,0.0018,0.0012,0.0028
David Savard,0.0015,0.0013,0.0029,0.0013,0.0027
Brady Skjei,0.0049,0.0049,0.0045,0.0046,0.0059
Ivan Provorov,0.0054,0.0055,0.0057,0.0057,0.0051
Miro Heiskanen,0.0057,0.0051,0.0057,0.0054,0.0014
Rasmus Dahlin,0.0034,0.0030,0.0039,0.0035,0.0062
Keith Yandle,0.0021,0.0023,0.0026,0.0030,0.0000
Torey Krug,0.0034,0.0033,0.0040,0.0031,0.0045
Esa Lindell,0.0028,0.0029,0.0033,0.0030,0.0021
Shayne Gostisbehere,0.0053,0.0055,0.0056,0.0058,0.0079
Tyler Myers,0.0044,0.0043,0.0045,0.0047,0.0006
Jordie Benn,0.0021,0.0021,0.0024,0.0024,0.0000
Oliver Ekman-Larsson,0.0033,0.0031,0.0036,0.0029,0.0014
Jaccob Slavin,0.0030,0.0031,0.0045,0.0032,0.0020
Nate Schmidt,0.0056,0.0054,0.0055,0.0056,0.0022
Kevin Shattenkirk,0.0023,0.0022,0.0030,0.0025,0.0050
Brenden Dillon,0.0009,0.0012,0.0018,0.0015,0.0022
Adam Pelech,0.0026,0.0025,0.0035,0.0025,0.0021
P.K. Subban,0.0039,0.0038,0.0036,0.0041,0.0039
Drew Doughty,0.0011,0.0013,0.0028,0.0016,0.0037
Radko Gudas,0.0024,0.0024,0.0027,0.0026,0.0016
Danny DeKeyser,0.0050,0.0050,0.0052,0.0054,0.0000
Robert Hagg,0.0038,0.0038,0.0037,0.0038,0.0011
Troy Stecher,0.0035,0.0037,0.0041,0.0040,0.0022
Andy Greene,0.0020,0.0016,0.0025,0.0024,0.0019
Brian Dumoulin,0.0038,0.0041,0.0044,0.0047,0.0020
Ben Chiarot,0.0029,0.0031,0.0035,0.0026,0.0050
Nick Jensen,0.0012,0.0013,0.0022,0.0018,0.0039
Adam Larsson,0.0025,0.0028,0.0028,0.0031,0.0050
Mike Matheson,0.0065,0.0066,0.0065,0.0067,0.0083
Colton Parayko,0.0040,0.0039,0.0040,0.0040,0.0029
Josh Morrissey,0.0027,0.0027,0.0039,0.0028,0.0038
Marcus Pettersson,0.0020,0.0020,0.0027,0.0024,0.0019
Alex Goligoski,0.0018,0.0019,0.0025,0.0027,0.0017
Dylan DeMelo,0.0006,0.0004,0.0021,0.0003,0.0000
Scott Mayfield,0.0027,0.0028,0.0034,0.0028,0.0028
Samuel Girard,0.0040,0.0038,0.0043,0.0042,0.0039
Zach Bogosian,0.0004,0.0003,0.0025,0.0003,0.0042
Rasmus Andersson,0.0036,0.0037,0.0038,0.0039,0.0014
Travis Dermott,0.0038,0.0037,0.0038,0.0038,0.0023
Filip Hronek,0.0045,0.0045,0.0044,0.0040,0.0021
Alexander Edler,0.0023,0.0022,0.0020,0.0021,0.0045
Anton Stralman,0.0036,0.0037,0.0040,0.0049,0.0059
Alec Martinez,0.0043,0.0043,0.0044,0.0053,0.0065
Travis Hamonic,0.0040,0.0042,0.0039,0.0044,0.0055
Nick Leddy,0.0014,0.0015,0.0026,0.0014,0.0021
Cam Fowler,0.0049,0.0049,0.0050,0.0053,0.0020
Jonas Brodin,0.0042,0.0046,0.0051,0.0052,0.0029
Colin Miller,0.0024,0.0027,0.0028,0.0031,0.0032
Brett Kulak,0.0024,0.0022,0.0032,0.0023,0.0041
Kris Russell,0.0003,0.0004,0.0021,0.0005,0.0047
Ian Cole,0.0020,0.0019,0.0022,0.0023,0.0018
Justin Braun,0.0016,0.0016,0.0020,0.0021,0.0050
Brayden McNabb,0.0020,0.0021,0.0029,0.0023,0.0026
Matthew Benning,0.0025,0.0020,0.0024,0.0019,0.0000
Erik Cernak,0.0055,0.0054,0.0058,0.0058,0.0011
Calvin de Haan,0.0010,0.0011,0.0030,0.0014,0.0034
Jon Merrill,0.0012,0.0012,0.0021,0.0010,0.0038
Derek Forbort,0.0016,0.0018,0.0018,0.0019,0.0035
MacKenzie Weegar,0.0063,0.0065,0.0065,0.0066,0.0038
Nikita Zadorov,0.0034,0.0027,0.0030,0.0024,0.0034
Devon Toews,0.0054,0.0055,0.0056,0.0057,0.0080
Nikita Zaitsev,0.0022,0.0023,0.0026,0.0027,0.0020
Marc Staal,0.0025,0.0026,0.0026,0.0033,0.0028
Connor Murphy,0.0037,0.0034,0.0034,0.0033,0.0037
Jordan Oesterle,0.0016,0.0014,0.0026,0.0012,0.0026
Brendan Smith,0.0050,0.0051,0.0056,0.0058,0.0069
Marco Scandella,0.0041,0.0039,0.0038,0.0041,0.0027
Christopher Tanev,0.0017,0.0019,0.0016,0.0021,0.0042
Jamie Oleksiak,0.0044,0.0045,0.0044,0.0048,0.0008
Matt Grzelcyk,0.0041,0.0043,0.0048,0.0048,0.0032
Jakob Chychrun,0.0078,0.0080,0.0090,0.0090,0.0066
Neal Pionk,0.0024,0.0022,0.0034,0.0022,0.0015
Zdeno Chara,0.0039,0.0034,0.0039,0.0045,0.0016
Joel Edmundson,0.0038,0.0039,0.0040,0.0042,0.0073
Ben Hutton,0.0026,0.0025,0.0036,0.0024,0.0035
Henri Jokiharju,0.0028,0.0029,0.0034,0.0034,0.0027
Michael Del Zotto,0.0030,0.0032,0.0034,0.0039,0.0047
Mark Pysyk,0.0076,0.0085,0.0078,0.0089,0.0028
Mike Reilly,0.0004,0.0003,0.0033,0.0002,0.0025
Matt Dumba,0.0059,0.0056,0.0054,0.0056,0.0055
Olli Maatta,0.0012,0.0012,0.0029,0.0011,0.0009
Robert Bortuzzo,0.0027,0.0026,0.0031,0.0030,0.0012
Justin Schultz,0.0036,0.0036,0.0037,0.0040,0.0018
Patrik Nemeth,0.0020,0.0022,0.0025,0.0026,0.0021
Erik Gudbranson,0.0024,0.0025,0.0024,0.0025,0.0051
Gustav Forsling,0.0052,0.0054,0.0053,0.0054,0.0076
Radim Simek,0.0028,0.0031,0.0032,0.0035,0.0022
Sean Walker,0.0052,0.0054,0.0060,0.0057,0.0000
Jan Rutta,0.0014,0.0013,0.0034,0.0014,0.0026
Dmitry Kulikov,0.0005,0.0007,0.0022,0.0007,0.0054
Matt Roy,0.0030,0.0029,0.0032,0.0030,0.0016
Ben Harpur,0.0005,0.0003,0.0023,0.0002,0.0000
Ryan Graves,0.0049,0.0046,0.0055,0.0046,0.0044
Caleb Jones,0.0030,0.0026,0.0025,0.0025,0.0062
Jacob Larsson,0.0015,0.0014,0.0026,0.0016,0.0000
Dean Kukan,0.0011,0.0014,0.0024,0.0016,0.0048
Ilya Lyubushkin,0.0006,0.0007,0.0022,0.0009,0.0017
Andrej Sekera,0.0031,0.0033,0.0034,0.0044,0.0024
Juuso Valimaki,0.0031,0.0028,0.0038,0.0030,0.0000
Luke Schenn,0.0049,0.0048,0.0048,0.0053,0.0040
Philippe Myers,0.0030,0.0028,0.0040,0.0026,0.0027
Justin Holl,0.0018,0.0019,0.0030,0.0020,0.0016
Connor Clifton,0.0028,0.0033,0.0025,0.0027,0.0023
Haydn Fleury,0.0057,0.0054,0.0056,0.0054,0.0037
Jeremy Lauzon,0.0017,0.0015,0.0024,0.0016,0.0019
Libor Hajek,0.0033,0.0033,0.0033,0.0035,0.0000
Dante Fabbro,0.0025,0.0022,0.0027,0.0022,0.0025
Jacob MacDonald,0.0021,0.0021,0.0052,0.0022,0.0000
Quinn Hughes,0.0036,0.0033,0.0035,0.0034,0.0051
Joel Hanley,0.0000,0.0000,0.0022,0.0001,0.0040
Jakub Zboril,0.0001,-0.0001,0.0019,0.0000,0.0000
Ryan Lindgren,0.0013,0.0011,0.0029,0.0012,0.0029
Jake Bean,0.0001,-0.0002,0.0045,0.0000,0.0057
Cale Makar,0.0065,0.0062,0.0063,0.0063,0.0121
Adam Fox,0.0039,0.0034,0.0049,0.0034,0.0068
John Marino,0.0036,0.0034,0.0035,0.0033,0.0007
Ethan Bear,0.0031,0.0030,0.0031,0.0031,0.0059
Vladislav Gavrikov,0.0030,0.0028,0.0030,0.0028,0.0033
Tucker Poolman,0.0013,0.0014,0.0029,0.0011,0.0016
Carson Soucy,0.0041,0.0037,0.0037,0.0034,0.0092
Adam Boqvist,0.0046,0.0042,0.0042,0.0042,0.0102
Mario Ferraro,0.0017,0.0014,0.0028,0.0014,0.0016
Nicolas Hague,0.0039,0.0036,0.0043,0.0042,0.0046
Noah Dobson,0.0039,0.0035,0.0041,0.0040,0.0069
Jani Hakanpaa,0.0021,0.0021,0.0030,0.0022,0.0036
Mikey Anderson,0.0012,0.0009,0.0021,0.0010,0.0019
Zach Whitecloud,0.0025,0.0025,0.0041,0.0025,0.0070
Conor Timmins,0.0001,-0.0001,0.0030,0.0000,0.0000
Tobias Bjornfot,0.0023,0.0019,0.0026,0.0022,0.0000
Ty Smith,0.0015,0.0011,0.0036,0.0012,0.0047
Artem Zub,0.0040,0.0040,0.0040,0.0040,0.0039
K'Andre Miller,0.0054,0.0054,0.0054,0.0057,0.0039
Ian Mitchell,0.0055,0.0058,0.0055,0.0061,0.0000
Jacob Bryson,0.0017,0.0017,0.0020,0.0017,0.0000
Alexander Romanov,0.0014,0.0010,0.0034,0.0011,0.0022
Logan Stanley,0.0022,0.0019,0.0040,0.0020,0.0013
Cal Foote,0.0025,0.0023,0.0039,0.0024,0.0028